# Geofeed generated 2026-04-24 02:01:02 
# prefix,country,region,city
24.204.24.0/24,US,TX,Longview
24.204.24.128/29,US,TX,Longview
24.204.24.136/29,US,TX,Longview
24.204.24.144/29,US,TX,Longview
24.204.24.152/29,US,TX,El Paso
24.204.24.160/30,US,TX,Longview
24.204.24.164/30,US,TX,Marshall
24.204.24.172/30,US,TX,Longview
24.204.24.180/30,US,TX,Longview
24.204.24.184/30,US,TX,Marshall
24.204.24.188/31,US,LA,Shreveport
24.204.24.190/31,US,TX,El Paso
24.204.25.0/24,US,TX,Longview
24.204.26.0/24,US,TX,Longview
24.204.27.0/24,US,TX,Longview
24.204.28.0/24,US,TX,Longview
24.204.29.0/24,US,TX,Longview
24.204.29.0/26,US,TX,Longview
24.204.29.192/26,US,TX,Longview
24.204.30.0/24,US,TX,Longview
24.204.30.128/25,US,TX,Longview
24.204.31.0/24,US,TX,Longview
24.204.31.16/29,US,TX,Longview
24.204.31.24/30,US,TX,Kilgore
24.204.31.28/30,US,TX,Longview
24.204.31.32/30,US,TX,Longview
24.204.31.36/30,US,TX,Longview
24.204.31.40/30,US,TX,Longview
24.204.31.44/30,US,TX,Longview
24.204.31.48/30,US,TX,Longview
24.204.31.52/30,US,TX,Longview
24.204.31.64/30,US,TX,Longview
24.204.31.68/30,US,TX,El Paso
24.204.31.72/29,US,TX,Longview
24.204.31.88/30,US,TX,Longview
24.204.31.92/30,US,TX,Kilgore
24.204.31.96/29,US,TX,Longview
24.204.31.104/29,US,TX,Longview
24.204.31.112/28,US,TX,Longview
24.204.31.192/29,US,TX,Longview
24.204.31.200/29,US,LA,Lafayette
24.204.31.200/31,US,TX,Kilgore
24.204.31.208/31,US,TX,El Paso
24.204.31.210/31,US,TX,El Paso
24.204.31.212/31,US,TX,Longview
24.204.31.214/31,US,TX,El Paso
2001:470:1:4dc::/126,US,TX,Dallas
2001:504:0:5::/64,US,TX,Dallas
2001:550:2:31::d2:0/112,US,TX,Dallas
2001:550:2:42::e:0/112,US,TX,El Paso
2001:550:2:6f::22:0/112,US,NC,Charlotte
2001:4860:1:1::ff2/127,US,TX,Dallas
2001:4860:1:1::1600/127,US,TX,Dallas
2602:fcc9:777::/48,US,TX,Kilgore
2602:fd58:1::/48,US,TX,Texarkana
2604:8e80::/32,US,TX,Dallas
2604:8e80::10:0:4:0/127,US,NC,Charlotte
2604:8e80::10:12:0:4/127,US,NC,Charlotte
2604:8e80::10:12:0:8/127,US,NC,Charlotte
2604:8e80::10:12:0:12/127,US,NC,Charlotte
2604:8e80::10:12:252:0/128,US,NC,Charlotte
2604:8e80::10:12:254:0/128,US,NC,Charlotte
2604:8e80::10:18:5:4/127,US,LA,Mamou
2604:8e80::10:18:9:6/127,US,LA,Marksville
2604:8e80::10:18:9:12/127,US,LA,Marksville
2604:8e80::10:18:13:2/127,US,LA,Sulphur
2604:8e80::10:18:15:8/127,US,LA,Shreveport
2604:8e80::10:18:15:254/127,US,AL,Mobile
2604:8e80::10:18:16:8/127,US,LA,Minden
2604:8e80::10:18:20:0/127,US,LA,Opelousas
2604:8e80::10:18:20:6/127,US,LA,Eunice
2604:8e80::10:18:20:12/127,US,LA,Opelousas
2604:8e80::10:18:20:14/127,US,LA,Opelousas
2604:8e80::10:18:25:16/127,US,LA,Marksville
2604:8e80::10:18:27:6/127,US,LA,Breaux Bdg
2604:8e80::10:18:29:2/127,US,LA,Opelousas
2604:8e80::10:18:29:6/127,US,LA,Breaux Bdg
2604:8e80::10:18:40:2/127,US,LA,De Ridder
2604:8e80::10:18:40:4/127,US,LA,De Ridder
2604:8e80::10:18:40:14/127,US,LA,De Ridder
2604:8e80::10:18:42:12/127,US,LA,Marksville
2604:8e80::10:18:42:16/127,US,LA,Marksville
2604:8e80::10:18:43:20/127,US,LA,Lafayette
2604:8e80::10:18:43:22/127,US,LA,Lafayette
2604:8e80::10:18:44:0/127,US,LA,Sulphur
2604:8e80::10:18:44:6/127,US,LA,De Ridder
2604:8e80::10:18:44:8/127,US,LA,Sulphur
2604:8e80::10:18:48:0/127,US,LA,Sulphur
2604:8e80::10:18:49:0/127,US,LA,Sulphur
2604:8e80::10:18:49:2/127,US,LA,Sulphur
2604:8e80::10:18:51:24/127,US,LA,Oakdale
2604:8e80::10:18:52:6/127,US,LA,Fenton
2604:8e80::10:18:62:2/127,US,LA,De Ridder
2604:8e80::10:18:62:4/127,US,LA,Leesville
2604:8e80::10:18:63:4/127,US,LA,De Ridder
2604:8e80::10:18:63:16/127,US,LA,St Landry
2604:8e80::10:18:75:0/127,US,LA,Opelousas
2604:8e80::10:18:75:2/127,US,LA,Eunice
2604:8e80::10:18:75:4/127,US,LA,Eunice
2604:8e80::10:18:78:2/127,US,LA,St Landry
2604:8e80::10:18:78:4/127,US,LA,St Landry
2604:8e80::10:18:87:252/127,US,,
2604:8e80::10:18:91:6/127,US,AL,Mobile
2604:8e80::10:18:94:2/127,US,LA,Minden
2604:8e80::10:18:112:0/127,US,LA,Shreveport
2604:8e80::10:18:114:0/127,US,LA,Shreveport
2604:8e80::10:18:114:2/127,US,LA,Shreveport
2604:8e80::10:18:114:4/127,US,LA,Shreveport
2604:8e80::10:18:114:10/127,US,LA,Shreveport
2604:8e80::10:18:114:12/127,US,LA,Shreveport
2604:8e80::10:18:240:13/128,US,LA,Fenton
2604:8e80::10:18:240:43/128,US,LA,Breaux Bdg
2604:8e80::10:18:240:87/128,US,,
2604:8e80::10:18:250:5/128,US,LA,Mamou
2604:8e80::10:18:250:40/128,US,LA,De Ridder
2604:8e80::10:18:250:44/128,US,LA,Sulphur
2604:8e80::10:18:250:45/128,US,LA,Sulphur
2604:8e80::10:18:250:46/128,US,LA,Leesville
2604:8e80::10:18:250:48/128,US,LA,Sulphur
2604:8e80::10:18:250:49/128,US,LA,Sulphur
2604:8e80::10:18:250:52/128,US,LA,Oakdale
2604:8e80::10:18:250:94/128,US,LA,Minden
2604:8e80::10:18:250:112/128,US,LA,Shreveport
2604:8e80::10:18:250:114/128,US,LA,Shreveport
2604:8e80::10:18:251:20/128,US,LA,Opelousas
2604:8e80::10:18:251:42/128,US,LA,Marksville
2604:8e80::10:18:251:63/128,US,LA,Alexandria
2604:8e80::10:18:251:75/128,US,LA,Eunice
2604:8e80::10:18:251:78/128,US,LA,St Landry
2604:8e80::10:18:251:114/128,US,LA,Shreveport
2604:8e80::10:18:252:43/128,US,LA,Lafayette
2604:8e80::10:18:255:76/128,US,LA,Shreveport
2604:8e80::10:22:250:11/128,US,AL,Mobile
2604:8e80::10:22:251:11/128,US,AL,Mobile
2604:8e80::10:28:0:66/127,US,TX,Dallas
2604:8e80::10:28:0:68/127,US,TX,Dallas
2604:8e80::10:28:0:70/127,US,TX,Dallas
2604:8e80::10:28:0:72/127,US,TX,Dallas
2604:8e80::10:28:0:80/127,US,TX,Dallas
2604:8e80::10:28:0:82/127,US,TX,Dallas
2604:8e80::10:28:0:88/127,US,TX,Dallas
2604:8e80::10:28:0:102/127,US,TX,Dallas
2604:8e80::10:28:0:104/127,US,TX,Dallas
2604:8e80::10:28:12:20/127,US,TX,Tyler
2604:8e80::10:28:12:22/127,US,TX,Tyler
2604:8e80::10:28:12:24/127,US,TX,Tyler
2604:8e80::10:28:13:32/127,US,TX,Longview
2604:8e80::10:28:13:250/127,US,TX,Longview
2604:8e80::10:28:31:0/127,US,TX,El Paso
2604:8e80::10:28:31:2/127,US,TX,El Paso
2604:8e80::10:28:73:2/127,US,TX,Sanantonio
2604:8e80::10:28:73:4/127,US,TX,Sanantonio
2604:8e80::10:28:73:8/127,US,TX,Sanantonio
2604:8e80::10:28:73:10/127,US,TX,Sanantonio
2604:8e80::10:28:74:0/127,US,TX,Sanantonio
2604:8e80::10:28:74:2/127,US,TX,Sanantonio
2604:8e80::10:28:74:4/127,US,TX,Sanantonio
2604:8e80::10:28:74:6/127,US,TX,Sanantonio
2604:8e80::10:28:74:8/127,US,TX,Sanantonio
2604:8e80::10:28:74:10/127,US,TX,Sanantonio
2604:8e80::10:28:94:2/127,US,TX,Sanantonio
2604:8e80::10:28:94:8/127,US,TX,Richmnrnbg
2604:8e80::10:28:94:10/127,US,TX,Richmnrnbg
2604:8e80::10:28:113:0/127,US,TX,Longview
2604:8e80::10:28:240:13/128,US,TX,Longview
2604:8e80::10:28:240:73/128,US,TX,Sanantonio
2604:8e80::10:28:241:73/128,US,TX,Sanantonio
2604:8e80::10:28:241:94/128,US,TX,Richmnrnbg
2604:8e80::10:28:242:73/128,US,TX,Sanantonio
2604:8e80::10:28:242:94/128,US,TX,Richmnrnbg
2604:8e80::10:28:243:73/128,US,TX,Sanantonio
2604:8e80::10:28:245:12/128,US,TX,Tyler
2604:8e80::10:28:246:12/128,US,TX,Tyler
2604:8e80::10:28:248:0/128,US,TX,Dallas
2604:8e80::10:28:249:0/128,US,TX,Dallas
2604:8e80::10:28:250:31/128,US,TX,El Paso
2604:8e80::10:28:250:71/128,US,TX,Sanantonio
2604:8e80::10:28:250:74/128,US,TX,Sanantonio
2604:8e80::10:28:251:73/128,US,TX,Sanantonio
2604:8e80::10:28:251:74/128,US,TX,Sanantonio
2604:8e80::10:28:252:0/128,US,TX,Dallas
2604:8e80::10:28:253:0/128,US,TX,Dallas
2604:8e80::10:28:253:13/128,US,TX,Longview
2604:8e80::69:194:176:176/127,US,LA,De Ridder
2604:8e80::169:254:166:0/126,US,TX,El Paso
2604:8e80::172:16:7:196/127,US,LA,De Ridder
2604:8e80:0:1::f0/127,US,TX,Dallas
2604:8e80:0:1::fa/127,US,TX,El Paso
2604:8e80:0:1::100/127,US,TX,Dallas
2604:8e80:0:1::102/127,US,TX,El Paso
2604:8e80:0:1::104/127,US,TX,El Paso
2604:8e80:0:1::144/127,US,NC,Charlotte
2604:8e80:0:1::156/127,US,TX,El Paso
2604:8e80:0:1::160/126,US,TX,Kilgore
2604:8e80:0:4::/64,US,,
2604:8e80:0:6::/64,US,,
2604:8e80:0:8::/64,US,,
2604:8e80:0:9::/64,US,,
2604:8e80:0:a::/64,US,,
2604:8e80:0:c::/64,US,LA,Vl Platte
2604:8e80:1::/64,US,LA,Mansura
2604:8e80:3100::/40,US,TX,Texarkana
2604:8e80:3200::/40,US,LA,St Landry
2604:8e80:3300::/40,US,LA,Alexandria
2604:8e80:3400::/127,US,TX,El Paso
2604:8e80:3400::2/127,US,TX,El Paso
2604:8e80:3400::4/127,US,TX,El Paso
2604:8e80:3400::6/127,US,TX,El Paso
2604:8e80:3400::a/127,US,TX,El Paso
2604:8e80:3400::c/127,US,TX,El Paso
2604:8e80:3500::/126,US,NC,Charlotte
2604:8e80:3500::4/127,US,LA,Lafayette
2604:8e80:3600::/126,US,LA,Shreveport
2604:8e80:3600::/127,US,TX,Longview
2606:8380::/48,US,TX,Longview
2606:b980::/32,US,NC,Charlotte
2606:b980:100::/127,US,NC,Charlotte
2606:b980:100::2/127,US,NC,Charlotte
2606:b980:100::4/127,US,NC,Charlotte
2606:b980:100::8/125,US,NC,Charlotte
2606:b980:100::10/127,US,NC,Charlotte
2606:b980:100::12/127,US,NC,Charlotte
2606:b980:100::14/126,US,NC,Charlotte
2606:b980:800::/127,US,NC,Charlotte
2620:0:1cff:dead:beee::1102/127,US,TX,Dallas
2620:0:1cff:dead:beee::24f0/127,US,TX,Dallas
2606:b980:1fe::/48,US,NC,Grifton
69.63.175.64/29,US,LA,Bunkie
